time,close,regime_score,regime_label,risk_score,risk_label,raw_base,ceiling,modifier,dd,score_A_roll,score_B_roll,score_C,rank_A_roll,rank_A_exp,r12,risk_C,risk_D,status
2019-12-16,7509.7,-0.5234009435276777,BEARISH,0.5653898628544932,EXTENDED,-0.5234009435276777,-0.3,-3.105500908972978e-26,-0.5361288544346737,-0.5337877690136794,-0.14749793401030098,-0.9557882690737268,0.2590067949924003,0.2590067949924003,0.9041642261456502,0.9993470464898664,0.07063499514566732,OK
2019-12-23,7385.54,-0.5389342205893611,BEARISH,0.4946798666129432,EXTENDED,-0.5389342205893611,-0.3,-2.4844007271783824e-26,-0.5431128369027248,-0.5441636370782089,-0.18087068331751388,-0.9591975156356518,0.2532424238454395,0.2532424238454395,0.9254286600674178,0.788560808535069,0.07063499514566732,OK
2019-12-30,7356.7,-0.5515542650925804,BEARISH,0.3951056332166704,NORMAL,-0.5515542650925804,-0.3,-1.987520581742706e-26,-0.5442132681609031,-0.5470161742765625,-0.21823061169857894,-0.9597112126342148,0.2516576809574653,0.2516576809574653,0.8206453816284762,0.5744718024001019,0.06823053428694158,OK
2020-01-06,8180.76,-0.5221667171419789,BEARISH,0.6253898147614088,EXTENDED,-0.5221667171419789,-0.3,-1.590016465394165e-26,-0.49239695933041283,-0.4837952891855284,-0.24195412140970263,-0.9274904023423214,0.2867803948969287,0.2867803948969287,1.3267566376086122,0.9980244616242382,0.07489183721301126,OK
2020-01-13,8696.6,-0.5037213701962154,BEARISH,0.48149422684618026,EXTENDED,-0.5037213701962154,-0.3,-1.2720131723153321e-26,-0.45957928337223297,-0.4447946541664032,-0.26510378531932843,-0.896130560902142,0.30844741435199824,0.30844741435199824,1.4589450111968154,0.5626712375357313,0.06530330877860493,OK
2020-01-20,8590.48,-0.5154023142665134,BEARISH,0.5986961761249443,EXTENDED,-0.5154023142665134,-0.3,-1.0176105378522657e-26,-0.4653718086297973,-0.45646305984825786,-0.2812924795253289,-0.9024247739087946,0.30196496675096784,0.30196496675096784,1.4313390297263409,0.9198475151248288,0.038378399435085975,OK
2020-01-27,9329.39,-0.4807287942463218,BEARISH,0.637233483917716,EXTENDED,-0.4807287942463218,-0.3,-8.140884302818126e-27,-0.41851354360313087,-0.39957960730065245,-0.3026198344333101,-0.8405280825241408,0.33356688483297087,0.33356688483297087,1.7320297995209115,0.994493328344589,0.03616293909607137,OK
2020-02-03,10173.97,-0.4309284480239892,BEARISH,0.5309782055070882,EXTENDED,-0.4309284480239892,0.004030504483015451,-6.5127074422545e-27,-0.36491955717503666,-0.3344561823566333,-0.32242344873159245,-0.7347845253761058,0.3697465653574259,0.3697465653574259,1.7871065124905146,0.665352715661184,0.03390637197243426,OK
2020-02-10,9912.89,-0.45573972782429273,BEARISH,0.3518272770086907,NORMAL,-0.45573972782429273,-0.12915526905075958,-5.210165953803601e-27,-0.3802871464289338,-0.36193604692183856,-0.33528069129442917,-0.7691371972845465,0.3544799739323119,0.3544799739323119,1.7341377978817296,0.16535504601651976,0.03390637197243426,OK
2020-02-17,9965.21,-0.45726465382623044,BEARISH,0.3691127757331409,NORMAL,-0.45726465382623044,-0.09269712271279906,-4.168132763042881e-27,-0.3760804372360922,-0.36295327757463214,-0.3464088342775111,-0.7600521145375705,0.35391484579187105,0.35391484579187105,1.6711511038202151,0.21184333976195743,0.04233973058982521,OK
2020-02-24,8528.95,-0.5516893837493442,BEARISH,0.2947655139502113,NORMAL,-0.5516893837493442,-0.3,-3.3345062104343045e-27,-0.4652021568982173,-0.48355166702741204,-0.3617659751147214,-0.9022453642103694,0.28691574054032665,0.28691574054032665,1.250667630728958,0.08192454579865346,0.04743943305365845,OK
2020-03-02,8033.7,-0.5831189005526713,BEARISH,0.31172191994294624,NORMAL,-0.5831189005526713,-0.3,-2.6676049683474436e-27,-0.49549947863343613,-0.5240610855461616,-0.38267578780570877,-0.9299547028607442,0.26441050802991023,0.26441050802991023,1.0610222888104426,0.20587476814376673,0.04216486291308868,OK
2020-03-09,5343.64,-0.6914881280767686,BEARISH,0.15031078442249238,NORMAL,-0.6914881280767686,-0.3,-2.134083974677955e-27,-0.6639258318630185,-0.7095540784803971,-0.41553096955092594,-0.9901180075812485,0.16135884528866828,0.16135884528866828,0.3475324675324676,0.2226862277591193,0.04224084662342301,OK
2020-03-16,5813.15,-0.6844308838471433,BEARISH,0.17023452790976656,NORMAL,-0.6844308838471433,-0.3,-1.707267179742364e-27,-0.633848008633401,-0.6778584113052274,-0.4430792852209795,-0.9858832527739888,0.17896754927487366,0.17896754927487366,0.4642732097561959,0.2226382057851382,0.04453472313744776,OK
2020-03-23,5870.9,-0.6862152896192044,BEARISH,0.1680352440656471,NORMAL,-0.6862152896192044,-0.3,-1.3658137437938911e-27,-0.6296550007030335,-0.672089766017805,-0.45827832772600263,-0.9851655863735655,0.18217235221233055,0.18217235221233055,0.4332972012265386,0.2220008770061202,0.053660854942881954,OK
2020-03-30,6775.2,-0.6575447982237314,BEARISH,0.17246840663475568,NORMAL,-0.6575447982237314,-0.3,-1.092650995035113e-27,-0.5719683804033381,-0.6099035760866859,-0.4679684550343348,-0.9707906098976888,0.21672023550739672,0.21672023550739672,0.30521976169606124,0.2319646610887949,0.08787898916300738,OK
2020-04-06,6908.24,-0.6556622599620028,BEARISH,0.447544100833051,EXTENDED,-0.6556622599620028,-0.3,-8.741207960280904e-28,-0.5629077759154903,-0.5999352891726212,-0.47935080201429914,-0.967544556920134,0.22225817268187711,0.22225817268187711,0.3381008460656396,0.9999999987380117,0.09680139318873432,OK
2020-04-13,7126.4,-0.6500702850517786,BEARISH,0.4527194123773521,EXTENDED,-0.6500702850517786,-0.3,-6.992966368224724e-28,-0.5484271846672175,-0.5840280403172416,-0.4895075566326018,-0.9616215996769573,0.23109553315708797,0.23109553315708797,0.3457082699951848,0.9999999588443896,0.10775946989524578,OK
